,HARGA,LB,LT,KT,KM,GRS
115,3800000000.0,211.0,180.0,5.0,4.0,3.0
116,4000000000.0,200.0,146.0,3.0,1.0,1.0
117,15000000000.0,800.0,692.0,5.0,4.0,4.0
118,3850000000.0,200.0,130.0,4.0,4.0,2.0
119,4200000000.0,160.0,140.0,4.0,3.0,2.0
120,5990000000.0,350.0,210.0,5.0,4.0,3.0
121,4000000000.0,180.0,152.0,4.0,3.0,2.0
123,9500000000.0,340.0,240.0,4.0,3.0,2.0
124,4000000000.0,190.0,140.0,4.0,4.0,2.0
125,4000000000.0,139.0,230.0,4.0,4.0,1.0
126,7000000000.0,400.0,282.0,8.0,4.0,3.0
127,4525000000.0,100.0,161.0,4.0,2.0,1.0
130,15000000000.0,400.0,578.0,6.0,3.0,2.0
131,3600000000.0,170.0,146.0,3.0,3.0,1.0
132,3950000000.0,200.0,148.0,4.0,3.0,1.0
133,3900000000.0,200.0,130.0,3.0,2.0,2.0
134,3850000000.0,236.0,137.0,4.0,3.0,2.0
135,9200000000.0,450.0,695.0,8.0,6.0,2.0
136,5950000000.0,220.0,200.0,3.0,3.0,2.0
137,7500000000.0,500.0,280.0,4.0,4.0,1.0
138,3100000000.0,200.0,103.0,3.0,3.0,1.0
139,7000000000.0,400.0,182.0,4.0,3.0,2.0
141,11000000000.0,280.0,344.0,3.0,3.0,2.0
142,4350000000.0,180.0,132.0,4.0,3.0,2.0
144,4300000000.0,250.0,155.0,5.0,3.0,2.0
145,8800000000.0,400.0,230.0,6.0,6.0,2.0
146,13000000000.0,216.0,384.0,3.0,3.0,2.0
147,4700000000.0,250.0,150.0,4.0,3.0,2.0
148,7200000000.0,250.0,161.0,3.0,3.0,2.0
149,3500000000.0,192.0,120.0,5.0,4.0,2.0
150,7900000000.0,380.0,225.0,5.0,3.0,2.0
151,2800000000.0,150.0,103.0,3.0,3.0,2.0
152,2600000000.0,130.0,75.0,3.0,3.0,1.0
153,5900000000.0,250.0,202.0,5.0,4.0,2.0
154,850000000.0,78.0,69.0,4.0,2.0,0.0
155,3600000000.0,250.0,180.0,4.0,2.0,0.0
156,6850000000.0,219.0,338.0,5.0,3.0,3.0
157,4500000000.0,325.0,226.0,6.0,4.0,1.0
159,5750000000.0,350.0,240.0,7.0,5.0,0.0
160,2999000000.0,140.0,140.0,5.0,3.0,1.0
161,5000000000.0,180.0,127.0,5.0,4.0,2.0
162,4000000000.0,200.0,135.0,7.0,4.0,2.0
163,3500000000.0,150.0,112.0,4.0,4.0,1.0
164,6100000000.0,375.0,130.0,5.0,4.0,3.0
166,6500000000.0,250.0,181.0,8.0,4.0,2.0
167,3750000000.0,150.0,112.0,3.0,5.0,2.0
168,6300000000.0,200.0,133.0,4.0,3.0,2.0
169,15000000000.0,480.0,387.0,4.0,4.0,3.0
170,2650000000.0,125.0,90.0,3.0,4.0,2.0
172,14500000000.0,500.0,307.0,3.0,4.0,2.0
173,8750000000.0,350.0,202.0,4.0,5.0,3.0
174,5800000000.0,200.0,138.0,5.0,4.0,2.0
175,15000000000.0,250.0,310.0,4.0,5.0,2.0
176,15000000000.0,400.0,580.0,5.0,4.0,3.0
177,2300000000.0,100.0,90.0,2.0,2.0,1.0
178,3950000000.0,200.0,166.0,4.0,4.0,3.0
179,2750000000.0,120.0,135.0,3.0,2.0,1.0
180,3250000000.0,251.0,146.0,8.0,8.0,2.0
181,2590000000.0,170.0,76.0,3.0,3.0,2.0
182,4500000000.0,140.0,140.0,5.0,4.0,2.0
183,4500000000.0,200.0,148.0,5.0,4.0,2.0
184,7150000000.0,250.0,162.0,5.0,3.0,2.0
185,10500000000.0,200.0,189.0,5.0,2.0,0.0
186,6500000000.0,245.0,125.0,4.0,3.0,3.0
188,9500000000.0,280.0,304.0,5.0,5.0,0.0
190,6500000000.0,200.0,222.0,6.0,2.0,2.0
191,3600000000.0,170.0,146.0,4.0,3.0,1.0
193,1900000000.0,135.0,135.0,3.0,3.0,2.0
195,2550000000.0,150.0,90.0,4.0,4.0,2.0
196,3300000000.0,120.0,90.0,5.0,4.0,2.0
197,3100000000.0,200.0,90.0,3.0,3.0,1.0
198,5950000000.0,220.0,200.0,5.0,4.0,1.0
199,6100000000.0,250.0,204.0,5.0,3.0,2.0
200,3200000000.0,150.0,87.0,4.0,3.0,2.0
201,2500000000.0,140.0,78.0,4.0,3.0,1.0
202,12500000000.0,600.0,208.0,4.0,5.0,4.0
203,8000000000.0,152.0,230.0,3.0,3.0,1.0
204,690000000.0,90.0,50.0,3.0,1.0,0.0
205,15000000000.0,500.0,501.0,6.0,3.0,0.0
206,9000000000.0,200.0,230.0,6.0,3.0,2.0
207,4000000000.0,180.0,155.0,4.0,3.0,2.0
208,3750000000.0,200.0,135.0,5.0,3.0,3.0
210,2100000000.0,160.0,120.0,6.0,3.0,1.0
211,8700000000.0,160.0,261.0,4.0,4.0,2.0
212,2900000000.0,175.0,135.0,4.0,2.0,0.0
213,3500000000.0,235.0,140.0,5.0,4.0,1.0
215,3500000000.0,120.0,86.0,5.0,4.0,1.0
216,2500000000.0,200.0,100.0,3.0,3.0,2.0
217,3600000000.0,170.0,146.0,4.0,3.0,2.0
218,2400000000.0,147.0,154.0,3.0,2.0,1.0
220,4900000000.0,179.0,158.0,4.0,4.0,2.0
221,3250000000.0,250.0,145.0,8.0,8.0,2.0
222,10000000000.0,600.0,306.0,6.0,5.0,3.0
223,12500000000.0,250.0,189.0,6.0,4.0,2.0
224,5500000000.0,200.0,150.0,5.0,3.0,1.0
225,6000000000.0,150.0,159.0,5.0,4.0,2.0
226,16000000000.0,300.0,405.0,6.0,4.0,0.0
227,5000000000.0,200.0,130.0,5.0,4.0,1.0
228,6000000000.0,340.0,173.0,5.0,4.0,2.0
229,5600000000.0,156.0,192.0,6.0,2.0,2.0
230,3750000000.0,300.0,180.0,5.0,3.0,2.0
233,2500000000.0,140.0,77.0,3.0,3.0,1.0
234,9900000000.0,200.0,340.0,4.0,4.0,1.0
235,3800000000.0,200.0,130.0,3.0,3.0,2.0
236,9500000000.0,300.0,368.0,4.0,3.0,3.0
237,10000000000.0,350.0,273.0,4.0,3.0,4.0
238,12500000000.0,465.0,350.0,6.0,6.0,2.0
239,2700000000.0,135.0,150.0,4.0,2.0,3.0
240,9800000000.0,400.0,248.0,5.0,5.0,3.0
241,11500000000.0,400.0,300.0,9.0,6.0,6.0
242,2600000000.0,120.0,142.0,4.0,2.0,1.0
